,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,59429,2771,1378,15949,1482,492,0,3024,70,34,40,7,15,4312,53179,1372
Cassava,12087,228790,77538,113752,6986,2251,7,12420,262,112,241,30,14,1811,95631,8313
Pineapple,7804,81729,225291,72663,6085,2222,1,11815,212,56,142,32,11,650,63841,3035
Para rubber,48976,303212,249928,9222055,253887,68304,30,187953,1948,2282,2985,1299,319,12866,675527,929150
Oil palm,2008,11276,10947,50396,123511,6907,9,16880,559,580,488,198,41,1006,18343,61207
Durian,953,3605,1727,39625,6826,28976,12,5135,129,432,739,605,108,1158,26561,10251
Rambutan,21,42,36,305,126,51,1,23,0,0,1,1,0,4,431,776
Coconut,290,810,783,912,263,263,0,1442,49,15,13,6,0,60,3099,643
Mango,180,2657,779,2361,373,64,0,760,124,4,6,1,1,42,15823,5473
Longan,28,212,67,737,237,240,0,87,2,40,4,16,0,50,1521,895
Jackfruit,149,601,307,2199,470,505,1,295,8,21,127,27,5,54,1725,1061
Mangosteen,132,40,79,485,133,247,1,70,0,11,7,46,1,36,2854,1794
Langsat,1,8,5,115,15,9,0,5,0,0,1,0,3,0,151,151
Reservoir,3038,1089,1724,4551,1726,270,1,1356,55,27,22,7,1,429851,24591,9548
Others,104070,296735,157588,508751,76152,73244,139,113606,3149,2264,2383,2739,901,211678,3175755,317571
Forest,1022,2521,1328,76745,33660,3086,22,5209,158,315,114,270,18,4297,56053,1842146
