,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9538,0.0,0.2105,0.6222,0.8046,0.6,0.0
Rambutan,0.0017,0.0,0.0,0.0,0.0,0.0,0.0
Mango,0.0051,0.0,0.7895,0.0444,0.0115,0.0,0.0
Longan,0.009,0.0,0.0,0.2222,0.0,0.4,0.0
Jackfruit,0.0204,0.0,0.0,0.0667,0.1839,0.0,0.0
Mangosteen,0.0096,0.0,0.0,0.0444,0.0,0.0,0.0
Langsat,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
