,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,64027,2908,1239,2030,691,4023,3086,1145,3280,748,507,354,653,4312,53179,1372
Cassava,19561,274256,89178,15753,2965,20578,3906,3882,15543,2435,4432,842,1159,1811,95631,8313
Pineapple,11540,96832,256682,7655,2056,12620,1682,1885,10768,1626,2596,1298,823,650,63841,3035
Para rubber,106415,569192,466980,7438184,617496,517500,102849,143890,155053,60847,82164,41417,41191,12866,675527,929150
Oil palm,3281,15571,14414,12168,65433,25619,8944,2090,18796,36536,9260,8312,3376,1006,18343,61207
Durian,1499,4581,2024,3567,682,53856,4399,339,3795,3631,3685,3820,2994,1158,26561,10251
Rambutan,36,64,56,128,128,79,75,6,11,7,5,8,4,4,431,776
Coconut,354,1099,909,1,2,491,123,54,1312,212,186,53,50,60,3099,643
Mango,338,3284,965,656,260,100,32,768,823,32,27,9,16,42,15823,5473
Longan,85,338,86,258,98,290,21,59,40,290,28,43,34,50,1521,895
Jackfruit,251,887,486,800,402,813,61,94,168,142,440,84,87,54,1725,1061
Mangosteen,167,105,158,150,60,268,48,13,35,53,18,139,38,36,2854,1794
Langsat,4,8,5,61,23,10,0,1,1,0,0,1,48,0,151,151
Reservoir,3607,1516,2050,729,738,1297,433,370,2038,436,328,154,171,429851,24591,9548
Others,152092,369772,167187,103090,31602,202325,54405,39616,121679,33553,21635,20294,24471,211678,3175755,317571
Forest,1658,5661,1881,40305,25048,13189,7417,5115,7867,7481,1978,4143,2725,4297,56053,1842146
