,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9347,0.0004,0.0042,0.0139,0.0238,0.0195,0.0035
Rambutan,0.9444,0.0185,0.0,0.0,0.0185,0.0185,0.0
Mango,0.32,0.0,0.62,0.02,0.03,0.005,0.005
Longan,0.7947,0.0,0.0066,0.1325,0.0132,0.053,0.0
Jackfruit,0.7277,0.0014,0.0115,0.0303,0.183,0.0389,0.0072
Mangosteen,0.7891,0.0032,0.0,0.0351,0.0224,0.147,0.0032
Langsat,0.6923,0.0,0.0,0.0,0.0769,0.0,0.2308
