,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,52927,0,257,190,505,115,14
Rambutan,105,0,0,0,0,0,0
Mango,235,0,243,5,7,0,0
Longan,428,0,5,43,8,3,0
Jackfruit,1051,0,22,12,89,10,2
Mangosteen,412,0,6,6,6,18,1
Langsat,30,0,0,0,0,0,3
