,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.98,0.0,0.0048,0.0035,0.0094,0.0021,0.0003
Rambutan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mango,0.4796,0.0,0.4959,0.0102,0.0143,0.0,0.0
Longan,0.8789,0.0,0.0103,0.0883,0.0164,0.0062,0.0
Jackfruit,0.8862,0.0,0.0185,0.0101,0.075,0.0084,0.0017
Mangosteen,0.9176,0.0,0.0134,0.0134,0.0134,0.0401,0.0022
Langsat,0.9091,0.0,0.0,0.0,0.0,0.0,0.0909
