,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.479,0.0769,0.0626,0.1715,0.0856,0.0843,0.0402
Rambutan,0.4412,0.1583,0.0487,0.1524,0.0612,0.1009,0.0372
Mango,0.4597,0.1399,0.1181,0.1316,0.0764,0.0255,0.0489
Longan,0.3369,0.1143,0.0486,0.3732,0.0631,0.0336,0.0302
Jackfruit,0.5079,0.0662,0.0592,0.1632,0.1091,0.0601,0.0343
Mangosteen,0.4116,0.0766,0.0295,0.1737,0.0606,0.1919,0.0562
Langsat,0.615,0.2101,0.0076,0.115,0.0067,0.039,0.0067
