,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.7994,0.7476,0.788,0.7685,0.7947,0.8186,0.7926
Rambutan,0.0087,0.0181,0.0072,0.008,0.0067,0.0115,0.0086
Mango,0.0412,0.073,0.0797,0.0316,0.0381,0.0133,0.0517
Longan,0.0264,0.0521,0.0287,0.0784,0.0275,0.0153,0.0279
Jackfruit,0.0919,0.0698,0.0808,0.0793,0.1098,0.0633,0.0733
Mangosteen,0.0281,0.0305,0.0152,0.0319,0.023,0.0763,0.0453
Langsat,0.0044,0.0088,0.0004,0.0022,0.0003,0.0016,0.0006
