,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,117107,18790,15308,41918,20918,20598,9829
Rambutan,1268,455,140,438,176,290,107
Mango,6031,1836,1549,1726,1002,335,641
Longan,3861,1310,557,4277,723,385,346
Jackfruit,13462,1755,1570,4325,2891,1594,909
Mangosteen,4119,767,295,1738,606,1920,562
Langsat,647,221,8,121,7,41,7
