,econ,water,forest,others
econ,0.8565,0.0218,0.3107,0.3814
water,0.0033,0.7557,0.0111,0.0314
forest,0.0315,0.0046,0.5773,0.0239
others,0.1086,0.2179,0.1008,0.5633
