,2403,2404,2407,2416,2419,2420
2403,7660,764,627,358,551,540
2404,183,170,23,3,12,21
2407,391,74,1600,68,26,19
2416,2096,178,513,696,207,151
2419,777,138,52,29,431,74
2420,37,4,3,2,1,91
