,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2101,0.8415762319871909,0.9010476190476191,0.870297120780057,10500.0,49000,49000,10500
2204,0.6680154496965238,0.6918095238095238,0.6797043136521007,10500.0,49000,49000,10500
2205,0.722080136402387,0.6453333333333333,0.6815530074431704,10500.0,49000,49000,10500
accuracy,0.7460634920634921,0.7460634920634921,0.7460634920634921,0.7460634920634921,,,
macro avg,0.7438906060287005,0.7460634920634921,0.7438514806251094,31500.0,,,
weighted avg,0.7438906060287006,0.7460634920634921,0.7438514806251093,31500.0,,,
