,precision,recall,f1-score,support
econ,0.679837173642418,0.9446228375738749,0.7906500814057873,15157223.0
water,0.06073294417784992,0.04740839357727746,0.05324978182182354,902857.0
others,0.4192243451354173,0.12978368377609564,0.1982064996323219,8263689.0
accuracy,0.6344885942634959,0.6344885942634959,0.6344885942634959,0.6344885942634959
macro avg,0.3865981543185617,0.37393830497574937,0.3473687876199776,24323769.0
weighted avg,0.5683172051912344,0.6344885942634959,0.5620039150940013,24323769.0
