,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
econ,0.6568988245633308,0.7973,0.7203216286213335,30000.0,140000,140000,30000
water,0.7584547704151774,0.7356,0.7468525788547449,7500.0,35000,35000,7500
others,0.6960348583877995,0.5324666666666666,0.6033616619452313,30000.0,140000,140000,30000
forest,0.7054734248504048,0.7635238095238095,0.7333516282473472,10500.0,49000,49000,10500
accuracy,0.6849615384615385,0.6849615384615385,0.6849615384615385,0.6849615384615385,,,
macro avg,0.7042154695541781,0.7072226190476191,0.7009718744171642,78000.0,,,
weighted avg,0.6882550285586794,0.6849615384615385,0.6796421173718548,78000.0,,,
