,precision,recall,f1-score,support
1,0.7289094979213303,0.7597666666666667,0.7440182797453893,30000.0
2,0.8483785525091273,0.7900666666666667,0.8181849563326314,30000.0
3,0.7496527148638038,0.8274666666666667,0.7866400481668092,30000.0
4,0.41237113402061853,0.01653575857792476,0.03179650238473768,2419.0
accuracy,0.7721247795366754,0.7721247795366754,0.7721247795366754,0.7721247795366754
macro avg,0.6848279748287199,0.5984589396444812,0.5951599466573919,92419.0
weighted avg,0.7661384426581516,0.7721247795366754,0.7632869244053017,92419.0
