LU_CODE,Category,Pixel_Count,f0_mean,f0_median,f1_mean,f1_median,f2_mean,f2_median,f3_mean,f3_median,f4_mean,f4_median,f5_mean,f5_median,f6_mean,f6_median,f7_mean,f7_median,f8_mean,f8_median,f9_mean,f9_median,f10_mean,f10_median,f11_mean,f11_median,f12_mean,f12_median,f13_mean,f13_median,f14_mean,f14_median
1101,other,187474,-0.048849739134311676,0.0,-0.03689718618988991,-0.006072819698601961,-0.006129181478172541,0.024204377084970474,87333.4453125,1.4028499126434326,88960.453125,1.4444444179534912,67544.09375,1.2893922328948975,-0.08500169217586517,-0.041180066764354706,-0.07522816956043243,-0.05516057461500168,-0.038439445197582245,-0.01808229647576809,0.3652893900871277,0.33651965856552124,0.3786490559577942,0.34470221400260925,0.3560325801372528,0.3214164972305298,-0.3618451654911041,-0.36439085006713867,-0.38240572810173035,-0.372816264629364,-0.36957281827926636,-0.36137574911117554
1200,other,7676,-0.3658851385116577,-0.43710389733314514,-0.3469524681568146,-0.3984641432762146,-0.2692376375198364,-0.2931389808654785,2.932210683822632,3.132298707962036,2.362826108932495,2.493100166320801,2.037950038909912,2.018015146255493,-0.4621019661426544,-0.5427897572517395,-0.43144240975379944,-0.49086543917655945,-0.35958632826805115,-0.3937913179397583,0.6267925500869751,0.715950608253479,0.6769726276397705,0.7488163113594055,0.6247983574867249,0.6808354258537292,-0.5441592931747437,-0.6059975624084473,-0.6090590953826904,-0.660484790802002,-0.5883607864379883,-0.6294833421707153
1201,other,1074665,-0.11554810404777527,-0.08805927634239197,-0.10052773356437683,-0.07623200118541718,-0.06592782586812973,-0.037691403180360794,73733.921875,1.6865768432617188,50526.69921875,1.6054672002792358,53541.37890625,1.4163497686386108,-0.17615585029125214,-0.16947594285011292,-0.16262930631637573,-0.15640856325626373,-0.12262140959501266,-0.10923710465431213,0.4377204477787018,0.44464609026908875,0.43463554978370667,0.43050846457481384,0.4095616340637207,0.4008357524871826,-0.4225136637687683,-0.44137415289878845,-0.42875051498413086,-0.4366067349910736,-0.41542595624923706,-0.42334094643592834
1301,other,447228,-0.20880289375782013,-0.20020213723182678,-0.21056021749973297,-0.20154860615730286,-0.1724574714899063,-0.15925917029380798,39506.140625,1.8715722560882568,37728.65625,1.945749044418335,24195.26171875,1.8262293338775635,-0.2834751307964325,-0.3067358732223511,-0.28751254081726074,-0.3006289303302765,-0.2494145929813385,-0.25004300475120544,0.48978182673454285,0.5690743923187256,0.49968644976615906,0.5579063296318054,0.5046054124832153,0.543137788772583,-0.45813092589378357,-0.537019670009613,-0.4646761417388916,-0.5298066139221191,-0.4850185811519623,-0.5277707576751709
1401,other,75027,-0.21793118119239807,-0.23880350589752197,-0.20465010404586792,-0.20223799347877502,-0.17659123241901398,-0.16138328611850739,6766.037109375,2.0375335216522217,138718.6875,2.2036874294281006,28991.546875,2.090857744216919,-0.27395039796829224,-0.34165921807289124,-0.25855445861816406,-0.3045310974121094,-0.23167407512664795,-0.2538589537143707,0.524651825428009,0.6216739416122437,0.4612864851951599,0.5286396145820618,0.4787779152393341,0.5337423086166382,-0.4858994483947754,-0.5782747864723206,-0.42098334431648254,-0.49064961075782776,-0.45110905170440674,-0.5198637843132019
1404,other,385,0.016708815470337868,0.02743801660835743,-0.028284093365073204,0.0,-0.008759679272770882,0.02883625216782093,0.3339006304740906,0.1419975906610489,-1.5014255046844482,0.2584586441516876,-0.8432775735855103,0.20437955856323242,0.003522659884765744,0.031148303300142288,-0.0685620978474617,-0.01967799663543701,-0.02499449998140335,0.013075060211122036,0.023231877014040947,-0.011100832372903824,0.006606171373277903,0.022262198850512505,-0.02079380862414837,-0.006958250422030687,0.016877902671694756,-0.03182751685380936,0.04793316125869751,-0.044243793934583664,0.07617543637752533,-0.029999999329447746
1405,other,3652,-0.03755001723766327,-0.01831822842359543,-0.017322828993201256,-0.012160709127783775,0.022304892539978027,0.033530086278915405,0.9500846266746521,0.900465726852417,1.4108995199203491,0.8268893957138062,0.7021368741989136,0.589525580406189,-0.1309594362974167,-0.1253904104232788,-0.11138961464166641,-0.11271841824054718,-0.05413726717233658,-0.047076236456632614,0.21378184854984283,0.17401815950870514,0.2039223164319992,0.1764705926179886,0.16926248371601105,0.12650001049041748,-0.23581093549728394,-0.21143051981925964,-0.24041004478931427,-0.2186809629201889,-0.21608908474445343,-0.1839105188846588
1500,other,2657,-0.16222389042377472,-0.2069970816373825,-0.12110105156898499,-0.14704087376594543,-0.07373122870922089,-0.07749248296022415,1.8454798460006714,2.066115617752075,1.7139798402786255,1.7867778539657593,1.63567054271698,1.563582420349121,-0.2105909287929535,-0.3028293550014496,-0.16387997567653656,-0.23855189979076385,-0.11553528904914856,-0.16063059866428375,0.5172483325004578,0.5895008444786072,0.5012149810791016,0.5652173757553101,0.4593415856361389,0.49257585406303406,-0.4697342813014984,-0.5384615659713745,-0.4681079089641571,-0.5457110404968262,-0.4422288239002228,-0.5057970881462097
1501,other,840502,-0.055840183049440384,-0.0074798427522182465,-0.02916368842124939,0.013800328597426414,-0.0010832344414666295,0.03764533996582031,19414.998046875,0.8390847444534302,17011.568359375,0.731769323348999,12918.6845703125,0.6322479248046875,-0.11258895695209503,-0.09265118837356567,-0.08194778859615326,-0.060732223093509674,-0.04829665645956993,-0.02528313919901848,0.29156163334846497,0.21526676416397095,0.2671354413032532,0.19308072328567505,0.2422332614660263,0.17110535502433777,-0.2895994782447815,-0.250954806804657,-0.2782023251056671,-0.24352091550827026,-0.2621164321899414,-0.230085551738739
1502,other,499099,-0.07842764258384705,-0.015855856239795685,-0.04844927787780762,0.007540395017713308,-0.015807848423719406,0.03995181620121002,39872.9453125,0.8616418838500977,16435.63671875,0.8252426981925964,10645.1259765625,0.7056501507759094,-0.14325489103794098,-0.11966527253389359,-0.10681212693452835,-0.08487997949123383,-0.06522950530052185,-0.036093417555093765,0.3081623613834381,0.22703412175178528,0.30154627561569214,0.22766217589378357,0.2773083746433258,0.20165227353572845,-0.303801029920578,-0.267067551612854,-0.3086147606372833,-0.27853646874427795,-0.29396164417266846,-0.2634291350841522
1503,other,1829,-0.04527509585022926,0.0,-0.017405517399311066,0.027243589982390404,0.026227964088320732,0.05771812051534653,1.5315043926239014,0.9217670559883118,0.9380097985267639,0.949669361114502,1.1372231245040894,0.8498023748397827,-0.09641295671463013,-0.023289665579795837,-0.07231014221906662,-0.04140625149011612,-0.019718656316399574,0.004809619393199682,0.2916170358657837,0.26596757769584656,0.3422449827194214,0.29758307337760925,0.3093126118183136,0.2741221487522125,-0.2986348271369934,-0.29793769121170044,-0.3737509548664093,-0.3674948215484619,-0.35487353801727295,-0.3471074402332306
1600,other,3606,-0.49979206919670105,-0.5254681706428528,-0.5032555460929871,-0.5275945663452148,-0.43103909492492676,-0.4497406780719757,2.5116982460021973,2.719811201095581,2.428698778152466,2.8175363540649414,2.691211223602295,2.891897678375244,-0.5758494734764099,-0.5994540452957153,-0.5749313831329346,-0.5993661880493164,-0.5183584094047546,-0.53803551197052,0.8057317733764648,0.834209144115448,0.8136609792709351,0.8370606303215027,0.7453210949897766,0.7683584690093994,-0.6925315856933594,-0.7160787582397461,-0.7037626504898071,-0.7229049801826477,-0.6518774032592773,-0.67066490650177
1601,other,27452,-0.2907385230064392,-0.33165252208709717,-0.3021916449069977,-0.33666956424713135,-0.27462103962898254,-0.307708740234375,77409.8203125,2.345768451690674,1.7375251054763794,2.2899608612060547,1.8526029586791992,2.1790685653686523,-0.3876892626285553,-0.45546072721481323,-0.3918466866016388,-0.4461597800254822,-0.36503610014915466,-0.42203328013420105,0.535104513168335,0.6227675676345825,0.5760210752487183,0.6733400821685791,0.5579617619514465,0.6488897800445557,-0.47601622343063354,-0.5573118925094604,-0.5192623734474182,-0.6118989586830139,-0.5112524628639221,-0.5938326716423035
1602,other,44690,-0.2543903589248657,-0.25455930829048157,-0.3074615001678467,-0.3306407034397125,-0.282792866230011,-0.30645978450775146,2.032506227493286,2.2991600036621094,26070.744140625,2.493854522705078,24224.5390625,2.3535614013671875,-0.32334843277931213,-0.369983971118927,-0.39785292744636536,-0.44216281175613403,-0.37201935052871704,-0.4124131202697754,0.46221062541007996,0.5588232278823853,0.5897367000579834,0.6580448746681213,0.5745319128036499,0.6590253114700317,-0.41116297245025635,-0.5061463713645935,-0.5301733016967773,-0.5927982330322266,-0.5236231684684753,-0.6021708250045776
1603,other,4784,-0.21845650672912598,-0.21384212374687195,-0.18872912228107452,-0.17114970088005066,-0.0897379145026207,-0.04988304525613785,1.6935940980911255,1.6675586700439453,1.579835295677185,1.4914448261260986,1.3678388595581055,1.0659503936767578,-0.3312165141105652,-0.3438517153263092,-0.3004806637763977,-0.29768800735473633,-0.18288646638393402,-0.14655405282974243,0.5104832053184509,0.5241484642028809,0.4958038330078125,0.4773184061050415,0.42659276723861694,0.3854343593120575,-0.4816299378871918,-0.496811181306839,-0.4815877079963684,-0.47685161232948303,-0.44896653294563293,-0.4280053973197937
