,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
econ,0.658738714831462,0.7943413710575263,0.7202127659574468,150001.0,699999,699999,150001
water,0.8249913629296942,0.7852635905867845,0.8046374003601251,48655.0,227057,227057,48655
others,0.7008608005356876,0.5303133333333333,0.6037745873798382,150000.0,700000,700000,150000
forest,0.7935042402138697,0.8537047619047619,0.8225044272960003,105000.0,490000,490000,105000
accuracy,0.7198075193538717,0.7198075193538717,0.7198075193538717,0.7198075193538717,,,
macro avg,0.7445237796276784,0.7409057642206015,0.7377822952483526,453656.0,,,
weighted avg,0.7216888700459994,0.7198075193538717,0.7144431480989133,453656.0,,,
