,2403,2404,2407,2416,2419,2420
2403,7724,717,573,394,549,543
2404,210,180,19,6,22,22
2407,488,74,2208,103,34,27
2416,2216,193,417,785,194,148
2419,825,153,70,44,426,91
2420,37,7,1,2,1,106
