,precision,recall,f1-score,support
1,0.7388267160881032,0.691,0.7141134727341624,30000.0
2,0.8512925324552439,0.7497333333333334,0.7972917885184594,30000.0
3,0.6900448861814684,0.8609,0.7660615767930237,30000.0
4,0.8461538461538461,0.022460438999489536,0.04375932371954252,1959.0
accuracy,0.7513457084135321,0.7513457084135321,0.7513457084135321,0.7513457084135321
macro avg,0.7815794952196655,0.5810234430832056,0.5803065404412969,91959.0
weighted avg,0.7618888790260862,0.7513457084135321,0.7439155455859235,91959.0
