LU_ID_L1,LU_ID_L2,LU_ID_L3,LU_CODE,LU_DES_TH,LU_DES_EN,,,,"LU 1101: available=187474, sampled=5000", ตัวเมืองและย่านการค้า,LU_Code,Crop,
2,22,2214,A214    ,ละหุ่ง  ,Castor bean,,,,"LU 2411: available=4709, sampled=4709",,,,
2,22,2215,A215    ,งา   ,Sesame,,,,"LU 2412: available=416, sampled=416",,,,
2,22,2216,A216    ,ข้าวไร่  ,Upland rice,,,,"LU 2413: available=19692, sampled=5000",ลำไย   ,,,
2,22,2217,A217    ,มันฝรั่ง  ,Potato,,,,"LU 2416: available=42873, sampled=5000",ขนุน  ,,,
2,22,2218,A218    ,มันแกว   ,Jam potato,,,,"LU 2419: available=19315, sampled=5000",มังคุด  ,,,
2,22,2219,A219    ,มันเทศ  ,Sweet potato,,,,"LU 2420: available=1843, sampled=1843",ลางสาด ลองกอง ,,,
2,22,2220,A220    ,แตงโม  ,Watermelon,,,,"LU 2421: available=1499, sampled=1499",,,,
2,22,2221,A221    ,ลูกเดือย  ,Millet,,,,"LU 2429: available=837, sampled=837",,,,
2,22,2222,A222    ,ขิง           ,Ginger  ,,,,"LU 2502: available=2080, sampled=2080",,,,
2,22,2223,A223    ,กะหล่ำปลี ,Cabbage,,,,"LU 2503: available=344, sampled=344",,,,
2,22,2224,A224    ,มะเขือเทศ ,Tomato,,,,"LU 2701: available=6659, sampled=5000",,,,
2,22,2225,A225   ,ว่านหางจระเข้  ,Aloe vera,,,,"LU 2702: available=1617, sampled=1617",,,,
2,22,2226,A226   ,ป่านศรนารายณ์  ,Agave,,,,"LU 2703: available=11020, sampled=5000",ป่าพรุรอสภาพฟื้นฟู  ,Disturbed swamp forest,,
2,22,2227,A227   ,ปอสา  ,Paper mulberry,,,,"LU 2704: available=6813, sampled=5000",,,,
2,22,2228,A228   ,ทานตะวัน ,Sunflower,,,,"LU 2803: available=4143, sampled=4143",ป่าปลูกรอสภาพฟื้นฟู  ,Disturbed forest plantation,,
2,22,2229,A229    ,พริก  ,Chili,,,,"LU 2900: available=32413, sampled=5000",,,,
2,22,2230,A230    ,ข้าวสาลี  ,Wheat,,,,"LU 2901: available=2006, sampled=2006",,,,
2,22,2231,A231  ,ข้าวบาร์เลย์  ,Barley,,,,"LU 2902: available=37988, sampled=5000",,,,
2,22,2232,A232    ,ข้าวไรย์  ,Rye,,,,"LU 2903: available=391436, sampled=5000",,,,
2,22,2233,A233   ,ฝิ่น  ,Opium,,,,"LU 3100: available=28722, sampled=5000",ป่าไม่ผลัดใบรอสภาพฟื้นฟู  ,Disturbed evergreen forest,,
2,22,2234,A234   ,กัญชา กัญชง ,"Marihuana, Hemp",,,,"LU 3101: available=1169472, sampled=5000",ป่าไม่ผลัดใบสมบูรณ์  ,Dense evergreen forest,,
2,22,2235,A235    ,กระเจี๊ยบแดง  ,Roselle,,,,"LU 3200: available=143799, sampled=5000",ป่าผลัดใบรอสภาพฟื้นฟู  ,Disturbed deciduous forest,,
2,22,2236,A236    ,เผือก ,Taro,,,,"LU 3201: available=1045064, sampled=5000",ป่าผลัดใบสมบูรณ์  ,Dense deciduous forest,,
2,23,2300,A300,ไม้ยืนต้นร้าง/เสื่อมโทรม,Abandoned perennial,,,,"LU 3300: available=298, sampled=298",ป่าชายเลนรอสภาพฟื้นฟู  ,Disturbed mangrove  forest,,
2,23,2301,A301,ไม้ยืนต้นผสม  ,Mixed perennial,,,,"LU 3301: available=129825, sampled=5000",ป่าชายเลนสมบูรณ์  ,Dense mangrove  forest,,
2,23,2302,A302     ,ยางพารา  ,Para rubber,,,,"LU 3401: available=5214, sampled=5000",ป่าพรุสมบูรณ์  ,Dense swamp forest,,
2,23,2303,A303     ,ปาล์มน้ำมัน  ,Oil palm,,,,"LU 3501: available=14570, sampled=5000",ป่าปลูกสมบูรณ์  ,Dense forest plantation,,
2,23,2304,A304     ,ยูคาลิปตัส  ,Eucalyptus,,,,"LU 4101: available=57026, sampled=5000",แม่น้ำ ลำห้วย ลำคลอง,"River, Canal",,
2,23,2305,A305     ,สัก  ,Teak,,,,"LU 4102: available=9684, sampled=5000",หนอง บึง ทะเลสาบ,"Lake, Lagoon",,
2,23,2306,A306     ,สะเดา  ,Magosa,,,,"LU 4103: available=2908, sampled=2908",ทะเล,Ocean,,
2,23,2307,A307     ,สนประดิพัทธ์ ,Casuarina,,,,"LU 4201: available=778421, sampled=5000",อ่างเก็บน้ำ ,Reservoir,,
2,23,2308,A308     ,กระถิน,Acacia,,,,"LU 4202: available=54749, sampled=5000",บ่อน้ำในไร่นา  ,Farm pond,,
2,23,2309,A309     ,ประดู่  ,Padauk,,,,"LU 5101: available=371572, sampled=5000",,,,
2,23,2310,A310     ,ซ้อ  ,Gmelina sp.,,,,"LU 5102: available=250763, sampled=5000",,,,
2,23,2311,A311     ,ไม้ชายเลน  ,Mangrove,,,,"LU 5201: available=225505, sampled=5000",,,,
2,23,2312,A312    ,กาแฟ  ,Coffee,,,,"LU 5300: available=25758, sampled=5000",,,,
2,23,2313,A313     ,ชา  ,Tea,,,,"LU 5301: available=16555, sampled=5000",,,,
2,23,2314,A314    ,หม่อน  ,Mulberry,,,,"LU 5302: available=43293, sampled=5000",,,,
2,23,2315,A315    ,ไผ่ปลูกเพื่อการค้า,Bamboo,,,,"LU 5303: available=37944, sampled=5000",,,,
2,23,2316,A316    ,นุ่น  ,Kapok,,,,"LU 5304: available=24552, sampled=5000",,,,
2,23,2317,A317     ,หมาก  ,Betel palm,,,,"LU 5405: available=61990, sampled=5000",,,,
2,23,2318,A318     ,จามจุรี  ,Rain tree,,,,"LU 5701: available=2098, sampled=2098",,,,
2,23,2319,A319     ,ตีนเป็ด ,White cheesewood,,,,,,,,
2,23,2320,A320      ,เปล้า ,Croton sp.,,,,,,,,
2,23,2321,A321      ,ยมหอม มะฮอกกานี,"Indian mahogany, Broad leaf  mahogany",,,,,,,,
2,23,2322,A322       ,กฤษณา ,Eagle wood,,,,,,,,
2,23,2323,A323,ตะกู,Bur-flower tree,,,,,,,,
2,24,2400,A400,ไม้ผลร้าง/เสื่อมโทรม,Abandoned orchard,,,,,,,,
2,24,2401,A401     ,ไม้ผลผสม  ,Mixed orchard,,,,,,,,
2,24,2402,A402     ,ส้ม  ,Orange,,,,,,,,
2,24,2403,A403     ,ทุเรียน  ,Durian,,,,,,,,
2,24,2404,A404    ,เงาะ  ,Rambutan,,,,,,,,
2,24,2405,A405     ,มะพร้าว   ,Coconut,,,,,,,,
2,24,2406,A406     ,ลิ้นจี่  ,Litchi,,,,,,,,
2,24,2407,A407     ,มะม่วง  ,Mango,,,,,,,,
2,24,2408,A408   ,มะม่วงหิมพานต์  ,Cashew,,,,,,,,
2,24,2409,A409   ,พุทรา  ,Jujube,,,,,,,,
2,24,2410,A410    ,น้อยหน่า  ,Custard apple,,,,,,,,
2,24,2411,A411    ,กล้วย  ,Banana,,,,,,,,
2,24,2412,A412    ,มะขาม  ,Tamarind,,,,,,,,
2,24,2413,A413   ,ลำไย   ,Longan,,,,,,,,
2,24,2414,A414   ,ฝรั่ง  ,Guava,,,,,,,,
2,24,2415,A415    ,มะละกอ ,Papaya,,,,,,,,
2,24,2416,A416    ,ขนุน  ,Jack fruit,,,,,,,,
2,24,2417,A417     ,กระท้อน  ,Santol,,,,,,,,
2,24,2418,A418     ,ชมพู่  ,Rose apple,,,,,,,,
2,24,2419,A419    ,มังคุด  ,Mangosteen,,,,,,,,
2,24,2420,A420    ,ลางสาด ลองกอง ,Langsat,,,,,,,,
2,24,2421,A421     ,ระกำ สละ  ,"Rakum, Sala ",,,,,,,,
2,24,2422,A422     ,มะนาว  ,Lime,,,,,,,,
2,24,2423,A423    ,ไม้ผลเมืองหนาว ,Sub-tropical fruit,,,,,,,,
2,24,2424,A424     ,มะขามเทศ ,Manila tamarind,,,,,,,,
2,24,2425,A425    ,มะกอกน้ำ มะกอกฝรั่ง,Elaeocarpaceae,,,,,,,,
2,24,2426,A426    ,แก้วมังกร  ,Dragon fruit,,,,,,,,
2,24,2427,A427,ส้มโอ,Pomelo,,,,,,,,
2,24,2428,A428,ละมุด,Sapodilla,,,,,,,,
2,24,2429,A429,มะปราง มะยงชิด,Plummango,,,,,,,,
2,24,2430,A430,มะไฟ ละไม,Burmese grape,,,,,,,,
2,24,2431,A431,ทับทิม,Pomegranate,,,,,,,,
2,25,2500,A500,พืชสวนร้าง/เสื่อมโทรม,Abandoned horticulture,,,,,,,,
2,25,2501,A501    ,พืชสวนผสม  ,Mixed horticulture,,,,,,,,
2,25,2502,A502    ,พืชผัก  ,Truck crop,,,,,,,,
2,25,2503,A503     ,ไม้ดอก ไม้ประดับ,Floricultural/Ornamental plant,,,,,,,,
2,25,2504,A504     ,องุ่น  ,Grapevine,,,,,,,,
2,25,2505,A505     ,พริกไทย  ,Pepper,,,,,,,,
2,25,2506,A506    ,สตรอเบอรี่  ,Strawberry,,,,,,,,
2,25,2507,A507    ,เสาวรส ,Passion fruit,,,,,,,,
2,25,2508,A508    ,แรสเบอรี่  ,Raspberry,,,,,,,,
2,25,2509,A509     ,พืชสมุนไพร  ,Herbs,,,,,,,,
2,25,2510,A510     ,นาหญ้า  ,Grass plantation,,,,,,,,
2,25,2511,A511     ,หวาย  ,Rattan ,,,,,,,,
2,25,2512,A512,แคนตาลูป,Cantaloupe,,,,,,,,
2,25,2513,A513,กระเจี๊ยบเขียว,Okra,,,,,,,,
2,25,2514,A514,หน่อไม้ฝรั่ง,Asparagus,,,,,,,,
2,25,2515,A515,เห็ด,Mushroom,,,,,,,,
2,26,2600,A600    ,ไร่หมุนเวียนร้าง  ,Bush fallow,,,,,,,,
2,26,2601,A601   ,พืชไร่ผสม(ไร่หมุนเวียน) ,Mixed field crop(Shifting cultivation),,,,,,,,
2,26,2602,A602    ,ข้าวโพด(ไร่หมุนเวียน),Corn(Shifting cultivation),,,,,,,,
