SUBCLASS_LABEL,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median
1,388468,-0.36489778757095337,-0.3833785057067871,-0.35591304302215576,-0.3744635283946991,-0.3304641842842102,-0.34872668981552124,0.8104274868965149,0.837158203125,0.8288736939430237,0.853515625,0.8121948838233948,0.839599609375,-0.46642211079597473,-0.48814114928245544,-0.44748401641845703,-0.4683544337749481,-0.42298009991645813,-0.44455528259277344,0.6922622919082642,0.7199900150299072,0.7168436050415039,0.7444612979888916,0.6949145197868347,0.7233487367630005,-0.6370415687561035,-0.6549618244171143,-0.6712146997451782,-0.6843200922012329,-0.6586140394210815,-0.6725468635559082,0.3675958812236786,0.3414706885814667,0.3972630500793457,0.36206895112991333,0.4234526455402374,0.38387346267700195,-0.5061038136482239,-0.5277901887893677,-0.48274558782577515,-0.5032745599746704,-0.4632025957107544,-0.48482367396354675
2,10461165,-0.43531545996665955,-0.4547097384929657,-0.4375837743282318,-0.45737484097480774,-0.38800859451293945,-0.41089698672294617,0.9034390449523926,0.88525390625,0.9395126700401306,0.9013671875,0.8967923521995544,0.8759765625,-0.48608171939849854,-0.5337954759597778,-0.48659905791282654,-0.5259721875190735,-0.4539501965045929,-0.48844707012176514,0.7801048159599304,0.7940896153450012,0.8376652002334595,0.8205872774124146,0.7795425057411194,0.7791005373001099,-0.6113699674606323,-0.6966466903686523,-0.6622895002365112,-0.7200963497161865,-0.6160461902618408,-0.6856963634490967,0.2979118824005127,0.30075186491012573,0.3281418979167938,0.310639888048172,0.3627379536628723,0.34186938405036926,-0.5074818134307861,-0.5703086853027344,-0.5054076910018921,-0.5567800402641296,-0.477114737033844,-0.5258376002311707
3,1281216,-0.3396383821964264,-0.3582383394241333,-0.26821351051330566,-0.2788180708885193,-0.1908934861421585,-0.17763367295265198,0.7678603529930115,0.8125,0.7269279956817627,0.777587890625,0.6781376004219055,0.72216796875,-0.4585396349430084,-0.4768033027648926,-0.37995004653930664,-0.3930225968360901,-0.2939339578151703,-0.281221479177475,0.6426591873168945,0.6840226054191589,0.5957199335098267,0.6361337900161743,0.5365349650382996,0.5652173757553101,-0.5977888107299805,-0.6209944486618042,-0.57741779088974,-0.600751519203186,-0.5406261682510376,-0.557386040687561,0.390809029340744,0.3539307117462158,0.48388874530792236,0.4357268810272217,0.5946084856987,0.5608038902282715,-0.49211013317108154,-0.5110927820205688,-0.41341331601142883,-0.42833152413368225,-0.33264410495758057,-0.32408758997917175
4,16122,-0.41354358196258545,-0.4336767792701721,-0.42782336473464966,-0.46248942613601685,-0.38177162408828735,-0.4208125174045563,0.836868166923523,0.860107421875,0.8589943051338196,0.8834228515625,0.8304965496063232,0.867919921875,-0.513456404209137,-0.5350279211997986,-0.5171377658843994,-0.5525258779525757,-0.47315022349357605,-0.5144233703613281,0.7273253202438354,0.7546496987342834,0.7597807049751282,0.7911577224731445,0.7226073145866394,0.766608476638794,-0.6617671847343445,-0.6796634197235107,-0.6964261531829834,-0.7121770977973938,-0.6757186055183411,-0.699012815952301,0.32783928513526917,0.3019939064979553,0.33180785179138184,0.2882232964038849,0.37176385521888733,0.318375825881958,-0.5505611300468445,-0.5701806545257568,-0.5485527515411377,-0.582350492477417,-0.5103327035903931,-0.548741340637207
