LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median
2101,157719,-0.3526884913444519,-0.3670828640460968,-0.2386772483587265,-0.2405271828174591,-0.13364948332309723,-0.10080572962760925,2.481290578842163,2.3576819896698,1.7791845798492432,1.6836735010147095,1.4118026494979858,1.248264193534851,0.7219826579093933,0.786376953125,0.6836566925048828,0.72705078125,0.6361585855484009,0.64599609375,2.457345962524414,2.5224647521972656,2.2729265689849854,2.22483229637146,2.315906286239624,2.2037036418914795,-0.49377191066741943,-0.5079365372657776,-0.36236152052879333,-0.37343358993530273,-0.23075208067893982,-0.20840266346931458,0.5953246355056763,0.6479400992393494,0.5414612293243408,0.5712603330612183,0.4889439344406128,0.47705313563346863,-0.5179183483123779,-0.5576009750366211,-0.51487797498703,-0.5308705568313599,-0.4942496120929718,-0.4954954981803894,0.34510400891304016,0.3262135982513428,0.4863685667514801,0.45482295751571655,0.6678800582885742,0.6550414562225342,-0.5298458337783813,-0.543134868144989,-0.4049050509929657,-0.4175306260585785,-0.2835269272327423,-0.26663821935653687
2204,513525,-0.33452463150024414,-0.3498086631298065,-0.256072074174881,-0.2673827111721039,-0.14760515093803406,-0.13376206159591675,2.0921132564544678,2.1683733463287354,1.9217735528945923,1.9648038148880005,1.5631678104400635,1.5718038082122803,0.7990933656692505,0.831298828125,0.7468888759613037,0.79345703125,0.6740503907203674,0.71923828125,3.4506161212921143,3.3531553745269775,3.159588098526001,3.0266904830932617,2.8277950286865234,2.6907894611358643,-0.43278437852859497,-0.4477958381175995,-0.3498198390007019,-0.3638467490673065,-0.23249328136444092,-0.22212065756320953,0.6795514822006226,0.7112120389938354,0.6193398237228394,0.6577777862548828,0.5327601432800293,0.5614824891090393,-0.623664915561676,-0.640326976776123,-0.5885331630706787,-0.6111001968383789,-0.5349865555763245,-0.5532799959182739,0.41126230359077454,0.38091641664505005,0.508621871471405,0.46599775552749634,0.6642614006996155,0.6361502408981323,-0.467589795589447,-0.4830465018749237,-0.3845959007740021,-0.3998230993747711,-0.27379941940307617,-0.26739606261253357
2205,411830,-0.3877004086971283,-0.4087223708629608,-0.3200194537639618,-0.33890652656555176,-0.2494468092918396,-0.26610857248306274,2.032728672027588,2.110550880432129,1.8132606744766235,1.8951821327209473,1.690887212753296,1.7833409309387207,0.8053280711174011,0.83544921875,0.765294075012207,0.8115234375,0.7119441032409668,0.76611328125,3.2975857257843018,3.184542655944824,3.0219545364379883,2.8894591331481934,2.946342945098877,2.8170225620269775,-0.5033915042877197,-0.5127768516540527,-0.4329400658607483,-0.4453437030315399,-0.3601796329021454,-0.3724788725376129,0.6863387227058411,0.7174129486083984,0.6407236456871033,0.6827098727226257,0.5753036141395569,0.6210041046142578,-0.6321460604667664,-0.647437572479248,-0.6096627116203308,-0.63115394115448,-0.5661888122558594,-0.5894845724105835,0.3498280644416809,0.3218890428543091,0.4293411076068878,0.38375115394592285,0.5158159732818604,0.456978440284729,-0.533098042011261,-0.5428924560546875,-0.4629843235015869,-0.47603654861450195,-0.3943309187889099,-0.40770789980888367
2302,10268430,-0.43544110655784607,-0.453519731760025,-0.43963783979415894,-0.45565059781074524,-0.3887997269630432,-0.4094303250312805,2.551618814468384,2.6928470134735107,2.483694314956665,2.661541223526001,2.343651533126831,2.591996669769287,0.9043194651603699,0.885009765625,0.9465434551239014,0.90087890625,0.9020631909370422,0.875732421875,3.8470146656036377,4.001992225646973,3.8670730590820312,3.8888888359069824,3.6003618240356445,3.5951972007751465,-0.483504980802536,-0.5321100950241089,-0.4868585169315338,-0.5241502523422241,-0.4519110918045044,-0.4863658845424652,0.780619204044342,0.7935405969619751,0.8411902189254761,0.8195348978042603,0.7829625606536865,0.7790849804878235,-0.6099149584770203,-0.6953831315040588,-0.6625959873199463,-0.7184154391288757,-0.6153523325920105,-0.6845577359199524,0.2944227159023285,0.3016917407512665,0.3257618248462677,0.3122051954269409,0.35962602496147156,0.34338486194610596,-0.504951536655426,-0.5689538717269897,-0.5067893266677856,-0.5552679300308228,-0.4763343036174774,-0.5241917371749878
2303,265062,-0.49861642718315125,-0.4999071955680847,-0.4993211627006531,-0.5099612474441528,-0.4449087083339691,-0.4624668061733246,2.5440754890441895,2.6948256492614746,2.4813740253448486,2.649601697921753,2.489077091217041,2.6658151149749756,0.8770506978034973,0.8955078125,0.8873187899589539,0.912353515625,0.8519185185432434,0.8828125,5.228011608123779,4.91304349899292,5.342695713043213,4.863636493682861,5.323206424713135,4.940316200256348,-0.5868608355522156,-0.5891432762145996,-0.5752739310264587,-0.5871286392211914,-0.5319272875785828,-0.5516514182090759,0.7868330478668213,0.8106591701507568,0.8061545491218567,0.83876633644104,0.7534618377685547,0.7899843454360962,-0.7063663601875305,-0.7177069187164307,-0.7294208407402039,-0.7416866421699524,-0.6877944469451904,-0.7039742469787598,0.2679343521595001,0.2583296298980713,0.2853301465511322,0.26013416051864624,0.32504037022590637,0.2883869409561157,-0.6168420910835266,-0.6198797225952148,-0.6012536883354187,-0.6132652759552002,-0.5614717602729797,-0.5815726518630981
2403,253370,-0.3573290705680847,-0.3752692937850952,-0.3521162271499634,-0.37037035822868347,-0.33054351806640625,-0.35086655616760254,2.2239532470703125,2.2535400390625,2.116152048110962,2.172220230102539,2.06215763092041,2.1193058490753174,0.8088818788528442,0.833251953125,0.8355529308319092,0.853759765625,0.8210629820823669,0.8447265625,3.70194149017334,3.7003746032714844,4.027911186218262,3.9678030014038086,4.158682823181152,4.073495864868164,-0.4579210579395294,-0.4796132445335388,-0.4418695867061615,-0.46175771951675415,-0.42108526825904846,-0.4440741539001465,0.6891480088233948,0.7142857313156128,0.7236411571502686,0.7447657585144043,0.7052663564682007,0.7310083508491516,-0.6329363584518433,-0.6510313749313354,-0.6758294701576233,-0.687240719795227,-0.6662085652351379,-0.6802037954330444,0.3720185458660126,0.3489599823951721,0.3992350101470947,0.36821258068084717,0.4216133654117584,0.3843047022819519,-0.4993571639060974,-0.5211147665977478,-0.4786539673805237,-0.49770408868789673,-0.46308115124702454,-0.4855692386627197
2404,3573,-0.39363348484039307,-0.4256010353565216,-0.3924574851989746,-0.4212743639945984,-0.3788127303123474,-0.41079971194267273,3.9396910667419434,2.388493776321411,2.235549211502075,2.315415143966675,2.1369149684906006,2.2120418548583984,0.8230470418930054,0.85498046875,0.8507949709892273,0.872802734375,0.8395582437515259,0.867431640625,3.5910911560058594,3.604966163635254,3.8969476222991943,3.822950839996338,4.011351585388184,3.9046692848205566,-0.4917052090167999,-0.5256030559539795,-0.4795302450656891,-0.5099648237228394,-0.4687943756580353,-0.502058744430542,0.71058589220047,0.7468085289001465,0.7469282150268555,0.7741522789001465,0.7339039444923401,0.7657751441001892,-0.6381610631942749,-0.6636363863945007,-0.6819581389427185,-0.6961170434951782,-0.6760286092758179,-0.693239152431488,0.3428564667701721,0.30871737003326416,0.36321738362312317,0.324534147977829,0.37501466274261475,0.3314940631389618,-0.5315455198287964,-0.5636771321296692,-0.5139418840408325,-0.5438179969787598,-0.509423553943634,-0.540423572063446
2405,6747,-0.38550981879234314,-0.4062444865703583,-0.35291025042533875,-0.3704228103160858,-0.27898404002189636,-0.3029930293560028,2.279839038848877,2.3439974784851074,2.2958521842956543,2.2884559631347656,2.1119582653045654,2.181741952896118,0.8200388550758362,0.841552734375,0.8153352737426758,0.84130859375,0.7687312960624695,0.800048828125,3.7964529991149902,3.69777774810791,3.9119997024536133,3.700892925262451,3.829383373260498,3.6193182468414307,-0.489332377910614,-0.5097419619560242,-0.44958269596099854,-0.46634742617607117,-0.37351861596107483,-0.40264394879341125,0.7038177251815796,0.726503312587738,0.6974112391471863,0.7260122299194336,0.6363518834114075,0.6666666865348816,-0.6362371444702148,-0.6448697447776794,-0.6407821774482727,-0.6532438397407532,-0.5961697101593018,-0.6076366305351257,0.3495664894580841,0.32411620020866394,0.39343011379241943,0.36379551887512207,0.4772430658340454,0.4258785843849182,-0.5237818956375122,-0.5410480499267578,-0.48331356048583984,-0.4977600872516632,-0.4115133583545685,-0.44120916724205017
2407,42742,-0.3548443019390106,-0.36797213554382324,-0.33653712272644043,-0.33852431178092957,-0.2769991159439087,-0.2879800796508789,2.294896125793457,2.2873148918151855,2.5522570610046387,2.371936798095703,2.222947835922241,2.247767686843872,0.8258378505706787,0.838623046875,0.8150796294212341,0.836669921875,0.7793309688568115,0.802978515625,3.5013742446899414,3.367332696914673,3.3555424213409424,3.246952533721924,3.417046546936035,3.302980899810791,-0.4483550488948822,-0.465140700340271,-0.4254847764968872,-0.4301900267601013,-0.3648934066295624,-0.37992599606513977,0.7085387110710144,0.7222222089767456,0.6968194246292114,0.7193227410316467,0.6485965847969055,0.6706515550613403,-0.6338980197906494,-0.6433655023574829,-0.6258376240730286,-0.641463041305542,-0.59592604637146,-0.6105520129203796,0.3906746804714203,0.3649154305458069,0.4160749018192291,0.39835137128829956,0.48474112153053284,0.4492572546005249,-0.48660147190093994,-0.5017693638801575,-0.46169692277908325,-0.4668857455253601,-0.4057847857475281,-0.4212260842323303
2413,12700,-0.3841754198074341,-0.40452277660369873,-0.3982970416545868,-0.4349327087402344,-0.3494706153869629,-0.38972413539886475,2.338883638381958,2.2985281944274902,2.241089344024658,2.3223931789398193,2.1335058212280273,2.1984293460845947,0.8257967829704285,0.847900390625,0.8508151769638062,0.872802734375,0.817426323890686,0.8564453125,3.830840587615967,3.7706966400146484,4.136419296264648,4.048864364624023,4.158261775970459,4.153846263885498,-0.4838559627532959,-0.506751298904419,-0.48728835582733154,-0.5264290571212769,-0.4396728575229645,-0.48314693570137024,0.7110610008239746,0.7359261512756348,0.7469485402107239,0.7742544412612915,0.7053710222244263,0.7489920854568481,-0.646766185760498,-0.6640377044677734,-0.6849397420883179,-0.6984093189239502,-0.6606513261795044,-0.6836777925491333,0.3527665138244629,0.32637566328048706,0.35772883892059326,0.3102475702762604,0.39817214012145996,0.3452988862991333,-0.5231888890266418,-0.5457297563552856,-0.5206421613693237,-0.5589981079101562,-0.4787828326225281,-0.5205941796302795
