SUBCLASS_LABEL,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median,F27_mean,F27_median,F28_mean,F28_median,F29_mean,F29_median,F30_mean,F30_median,F31_mean,F31_median,F32_mean,F32_median,F33_mean,F33_median,F34_mean,F34_median
1,343585,-0.26458150148391724,-0.30132347345352173,-0.24092718958854675,-0.27184608578681946,-0.34496641159057617,-0.36562442779541016,-0.33645662665367126,-0.35447436571121216,-0.30429258942604065,-0.32473278045654297,0.5745628476142883,0.6845703125,0.5842766761779785,0.728271484375,0.7970075607299805,0.82958984375,0.8207239508628845,0.845458984375,0.7973516583442688,0.828857421875,-0.3579212725162506,-0.41143524646759033,-0.3243544399738312,-0.38073232769966125,-0.44509363174438477,-0.4702475070953369,-0.42791011929512024,-0.4487374424934387,-0.39589208364486694,-0.42046988010406494,0.45130231976509094,0.5204607248306274,0.47549909353256226,0.5727043747901917,0.6766980886459351,0.708737850189209,0.7053269147872925,0.732083797454834,0.6762248873710632,0.7076132893562317,-0.3925180435180664,-0.45671379566192627,-0.4315461814403534,-0.5248618721961975,-0.6208909153938293,-0.644917905330658,-0.658085286617279,-0.6724137663841248,-0.640434980392456,-0.65728360414505,0.33693966269493103,0.3428386151790619,0.3375937342643738,0.3496416211128235,0.3814660608768463,0.3557959794998169,0.41490423679351807,0.3803907036781311,0.44815078377723694,0.4061707556247711,-0.3926481008529663,-0.45583629608154297,-0.36178773641586304,-0.4316987693309784,-0.4860534369945526,-0.5114471912384033,-0.46504828333854675,-0.4856746792793274,-0.4380834996700287,-0.4622544050216675
2,10883364,-0.3773483335971832,-0.44668158888816833,-0.3692961037158966,-0.46903082728385925,-0.4304226040840149,-0.4510219395160675,-0.42452263832092285,-0.4491097033023834,-0.37195712327957153,-0.4021271765232086,0.704315721988678,0.798095703125,0.720798134803772,0.85205078125,0.9049647450447083,0.883544921875,0.9331751465797424,0.89794921875,0.8863980770111084,0.871826171875,-0.4496210813522339,-0.5611261129379272,-0.42723238468170166,-0.5659438967704773,-0.48097193241119385,-0.5304954051971436,-0.47580376267433167,-0.518943727016449,-0.439456969499588,-0.48019322752952576,0.5689042210578918,0.6640584468841553,0.6133670806884766,0.7420583367347717,0.7804880738258362,0.7911595106124878,0.8232351541519165,0.8145734667778015,0.7619801759719849,0.7727687954902649,-0.4815315306186676,-0.5572259426116943,-0.5089019536972046,-0.6335078477859497,-0.6047099232673645,-0.6931420564651489,-0.6467539072036743,-0.7141507267951965,-0.601335346698761,-0.679513156414032,0.27289465069770813,0.2589595317840576,0.25246894359588623,0.25397247076034546,0.30633482336997986,0.3039921522140503,0.3415655791759491,0.31669992208480835,0.37801313400268555,0.3486334979534149,-0.47846919298171997,-0.594115674495697,-0.4627600908279419,-0.6016435027122498,-0.5024055242538452,-0.5674418807029724,-0.49576959013938904,-0.5505226254463196,-0.4642865061759949,-0.5185185074806213
3,1416202,-0.16922354698181152,-0.14444445073604584,-0.18560315668582916,-0.1724471151828766,-0.3294684588909149,-0.3494664430618286,-0.25535836815834045,-0.26709339022636414,-0.1736304759979248,-0.16177485883235931,0.5249213576316833,0.59130859375,0.5589176416397095,0.64892578125,0.7611792087554932,0.8095703125,0.7178924679756165,0.7724609375,0.6644693613052368,0.712646484375,-0.2630184292793274,-0.24147242307662964,-0.2837407886981964,-0.28639185428619385,-0.4443204402923584,-0.4645577073097229,-0.3638332486152649,-0.37907618284225464,-0.27330106496810913,-0.26377856731414795,0.3935399055480957,0.4196770191192627,0.4341164231300354,0.4804140627384186,0.6361931562423706,0.680071234703064,0.5863123536109924,0.629135251045227,0.5227053761482239,0.5535168051719666,-0.3809005618095398,-0.41082456707954407,-0.42012956738471985,-0.46917253732681274,-0.5883609652519226,-0.6127902865409851,-0.5656987428665161,-0.5895233154296875,-0.5270511507987976,-0.5453264713287354,0.5100141763687134,0.4888475835323334,0.4625984728336334,0.45193469524383545,0.40135282278060913,0.3636363744735718,0.5007199645042419,0.4495052993297577,0.6202383041381836,0.5822553634643555,-0.299775630235672,-0.28985142707824707,-0.3220211863517761,-0.33567285537719727,-0.47871118783950806,-0.5002493858337402,-0.3985815942287445,-0.41600000858306885,-0.31361058354377747,-0.3084651231765747
4,13060,-0.31691768765449524,-0.3668225407600403,-0.29798659682273865,-0.3531208634376526,-0.37130501866340637,-0.39528703689575195,-0.3826872408390045,-0.4242706298828125,-0.3262379467487335,-0.36522695422172546,0.654775083065033,0.74169921875,0.6430754065513611,0.7921142578125,0.8178141117095947,0.843017578125,0.8405067920684814,0.868896484375,0.7911500930786133,0.844482421875,-0.41727349162101746,-0.49348121881484985,-0.38420987129211426,-0.46864086389541626,-0.4716273546218872,-0.4989563524723053,-0.47310158610343933,-0.5169501304626465,-0.4167511463165283,-0.46114063262939453,0.5290669798851013,0.5895595550537109,0.5390758514404297,0.655747652053833,0.7003945112228394,0.7287638187408447,0.7330999970436096,0.7681368589401245,0.676983118057251,0.7309266328811646,-0.46273481845855713,-0.5159691572189331,-0.4829389154911041,-0.5840280055999756,-0.6376187205314636,-0.6566493511199951,-0.6739487648010254,-0.6895408630371094,-0.6366367340087891,-0.6705255508422852,0.3346598148345947,0.3036721348762512,0.3067757189273834,0.30753767490386963,0.3649485409259796,0.3332153558731079,0.37271273136138916,0.3184349536895752,0.4075756072998047,0.35822606086730957,-0.4523704946041107,-0.5339057445526123,-0.419906884431839,-0.5135475993156433,-0.5115517973899841,-0.5387800931930542,-0.5071457028388977,-0.5504672527313232,-0.4560719132423401,-0.5012236833572388
