,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2403,0.6897477624084621,0.8073333333333333,0.7439227731461168,10500.0,49000,49000,10500
2404,0.1301715438950555,0.46402877697841727,0.2033096926713948,278.0,1301,20000,278
2407,0.7693247784906814,0.6803566603620643,0.7221106968741038,3701.0,17272,20000,3701
2416,0.6038077969174978,0.19815531091936925,0.29838709677419356,3361.0,15685,20000,3361
2419,0.302784222737819,0.2679671457905544,0.28431372549019607,974.0,4542,20000,974
2420,0.1724137931034483,0.7926829268292683,0.28322440087145967,82.0,381,20000,82
accuracy,0.6411939034716342,0.6411939034716342,0.6411939034716342,0.6411939034716342,,,
macro avg,0.44470831625882745,0.5350873590355012,0.42254473097124406,18896.0,,,
weighted avg,0.6596241516250274,0.6411939034716342,0.6267604733004289,18896.0,,,
