LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median
2101,165519,-0.33824265003204346,-0.34922611713409424,-0.22453851997852325,-0.21915584802627563,-0.13432708382606506,-0.10793131589889526,0.7004323601722717,0.76708984375,0.6642716526985168,0.693115234375,0.6352041959762573,0.647216796875,-0.4890468716621399,-0.503146231174469,-0.35523444414138794,-0.3622978627681732,-0.234726220369339,-0.21847549080848694,0.5705960988998413,0.6222865581512451,0.5184040665626526,0.5303298830986023,0.48595502972602844,0.4785420298576355,-0.503012478351593,-0.5423447489738464,-0.5013334155082703,-0.5127860307693481,-0.4927096366882324,-0.4932233393192291,0.34971556067466736,0.3305084705352783,0.4966948628425598,0.4681077301502228,0.6613301634788513,0.6413533687591553,-0.525510847568512,-0.5382823944091797,-0.3982439935207367,-0.4065808355808258,-0.2871708273887634,-0.2761164903640747
2204,561323,-0.3163110017776489,-0.33715924620628357,-0.24095650017261505,-0.2558946907520294,-0.14341378211975098,-0.1260988563299179,0.7777196764945984,0.81884765625,0.7268466353416443,0.77880859375,0.6619383692741394,0.703369140625,-0.4204985499382019,-0.44129082560539246,-0.3394368588924408,-0.3575851321220398,-0.23290985822677612,-0.21819749474525452,0.6537045836448669,0.6931408047676086,0.5966622233390808,0.6378092169761658,0.5190398097038269,0.5423461198806763,-0.6099516749382019,-0.6302131414413452,-0.5786699056625366,-0.603076159954071,-0.5297572016716003,-0.5467883944511414,0.42653119564056396,0.3869844675064087,0.5262029767036438,0.473204106092453,0.6672753095626831,0.6415275931358337,-0.4561580419540405,-0.4774837791919708,-0.37421390414237976,-0.39381444454193115,-0.2735210359096527,-0.2628856599330902
2205,554374,-0.36369022727012634,-0.3875151574611664,-0.3088444471359253,-0.33080655336380005,-0.25586313009262085,-0.27505671977996826,0.7779834270477295,0.818359375,0.74560546875,0.79541015625,0.7074113488197327,0.75634765625,-0.4879407286643982,-0.5099784135818481,-0.4283728003501892,-0.4542838931083679,-0.3734048008918762,-0.40009188652038574,0.6530103087425232,0.6923882961273193,0.6178938150405884,0.6604757308959961,0.5693274140357971,0.6081255674362183,-0.6138186454772949,-0.6328502297401428,-0.5988102555274963,-0.6208695769309998,-0.5660268664360046,-0.5856215953826904,0.3668951392173767,0.3243815302848816,0.4372297525405884,0.3752472996711731,0.5010344982147217,0.4282988905906677,-0.5185726881027222,-0.540848433971405,-0.4576376974582672,-0.4842160940170288,-0.40608614683151245,-0.4336051940917969
2302,10079679,-0.43110960721969604,-0.45345601439476013,-0.4336391091346741,-0.4560037851333618,-0.3844664990901947,-0.4094129502773285,0.8991819024085999,0.884765625,0.9367513656616211,0.901123046875,0.8943466544151306,0.87548828125,-0.4828872084617615,-0.5325785875320435,-0.4833085536956787,-0.5246230959892273,-0.4499189853668213,-0.48690012097358704,0.7757759094238281,0.7933985590934753,0.8330059051513672,0.8199566006660461,0.7758079767227173,0.7785184979438782,-0.6131982803344727,-0.6958624124526978,-0.6639959216117859,-0.7193695902824402,-0.6178660988807678,-0.6849673390388489,0.30010056495666504,0.3017212152481079,0.3309597671031952,0.3117996156215668,0.3653128147125244,0.34322530031204224,-0.5051013231277466,-0.5692233443260193,-0.5027900338172913,-0.5555555820465088,-0.4740590453147888,-0.5244922637939453
2303,373844,-0.5109705924987793,-0.5404923558235168,-0.5155459046363831,-0.557268500328064,-0.4643946886062622,-0.5115465521812439,0.8792427182197571,0.90234375,0.8905643820762634,0.918701171875,0.8587925434112549,0.890380859375,-0.6007303595542908,-0.6328723430633545,-0.5929970741271973,-0.6373298168182373,-0.5536089539527893,-0.6048181056976318,0.7908599376678467,0.8221343755722046,0.8113951086997986,0.8496321439743042,0.7625572085380554,0.802247166633606,-0.7124389410018921,-0.7322761416435242,-0.7362725734710693,-0.7570362687110901,-0.6970009803771973,-0.7205842733383179,0.2561623752117157,0.22457735240459442,0.26952478289604187,0.22150102257728577,0.30382272601127625,0.245906800031662,-0.6297584772109985,-0.6599929928779602,-0.6175935864448547,-0.658964991569519,-0.5820206999778748,-0.6308611631393433
2403,293540,-0.3631415069103241,-0.3827470541000366,-0.35557904839515686,-0.37565696239471436,-0.3356330990791321,-0.35609671473503113,0.807421088218689,0.835693359375,0.8296837210655212,0.854248046875,0.8170300126075745,0.845458984375,-0.4656299948692322,-0.48845207691192627,-0.4474986493587494,-0.4695340394973755,-0.4286017119884491,-0.4516378939151764,0.6884202361106873,0.7178037166595459,0.7177996039390564,0.7456486225128174,0.7012776732444763,0.7320813536643982,-0.6352707743644714,-0.6541534662246704,-0.6747249960899353,-0.6892616748809814,-0.6663489937782288,-0.6821900606155396,0.3677558898925781,0.34095054864883423,0.39712801575660706,0.36097562313079834,0.41750648617744446,0.3772639036178589,-0.5057754516601562,-0.5288299322128296,-0.4828328788280487,-0.504647433757782,-0.4691969156265259,-0.49253398180007935
2404,4214,-0.39970582723617554,-0.4337729811668396,-0.3962686061859131,-0.429668664932251,-0.38311177492141724,-0.4148685336112976,0.8201265931129456,0.858154296875,0.845796525478363,0.87353515625,0.8360769748687744,0.8662109375,-0.4989802837371826,-0.535331666469574,-0.4864175319671631,-0.5197420120239258,-0.47595134377479553,-0.5098300576210022,0.7092375159263611,0.7517023086547852,0.7411766648292542,0.7755897045135498,0.7294272184371948,0.7641100883483887,-0.6401129961013794,-0.6693194508552551,-0.6818561553955078,-0.6998652219772339,-0.6768022775650024,-0.6969866752624512,0.33452308177948,0.29947429895401,0.35849669575691223,0.3160128593444824,0.37010428309440613,0.32465240359306335,-0.5376371145248413,-0.5727956891059875,-0.5199112296104431,-0.5523087978363037,-0.5160390734672546,-0.5489760637283325
2405,7642,-0.37869882583618164,-0.39690762758255005,-0.3395844101905823,-0.3531193733215332,-0.2766994833946228,-0.29191190004348755,0.8084847927093506,0.83447265625,0.8003720045089722,0.82421875,0.7611058950424194,0.7841796875,-0.4878402054309845,-0.507493257522583,-0.4418400228023529,-0.45722636580467224,-0.375857412815094,-0.3982997536659241,0.689175546169281,0.7158185243606567,0.6783063411712646,0.700864315032959,0.6262186765670776,0.6450604200363159,-0.6303606033325195,-0.6432601809501648,-0.6339549422264099,-0.6444957256317139,-0.5926706790924072,-0.5962632894515991,0.35180625319480896,0.32581639289855957,0.40315383672714233,0.3724703788757324,0.475587397813797,0.4303084909915924,-0.5225341320037842,-0.5404621362686157,-0.4758959412574768,-0.4894726872444153,-0.41357728838920593,-0.43776649236679077
2407,38448,-0.3573107123374939,-0.37435466051101685,-0.33697792887687683,-0.3406904935836792,-0.27256089448928833,-0.2813960015773773,0.8248258233070374,0.8408203125,0.8127664923667908,0.835693359375,0.772627055644989,0.797119140625,-0.45303142070770264,-0.4739038646221161,-0.4281798303127289,-0.4357856512069702,-0.3629176616668701,-0.37661707401275635,0.7076617479324341,0.7252342700958252,0.6944466829299927,0.7178146839141846,0.6405382752418518,0.6625514626502991,-0.6368558406829834,-0.6485857963562012,-0.6288042664527893,-0.645005464553833,-0.5943636894226074,-0.6092157959938049,0.38610878586769104,0.3568209409713745,0.41457849740982056,0.3929655849933624,0.48840779066085815,0.4527381658554077,-0.4909490644931793,-0.5098414421081543,-0.46388953924179077,-0.4718788266181946,-0.4037177860736847,-0.4177381992340088
2413,16122,-0.41354358196258545,-0.4336767792701721,-0.42782336473464966,-0.46248942613601685,-0.38177162408828735,-0.4208125174045563,0.836868166923523,0.860107421875,0.8589943051338196,0.8834228515625,0.8304965496063232,0.867919921875,-0.513456404209137,-0.5350279211997986,-0.5171377658843994,-0.5525258779525757,-0.47315022349357605,-0.5144233703613281,0.7273253202438354,0.7546496987342834,0.7597807049751282,0.7911577224731445,0.7226073145866394,0.766608476638794,-0.6617671847343445,-0.6796634197235107,-0.6964261531829834,-0.7121770977973938,-0.6757186055183411,-0.699012815952301,0.32783928513526917,0.3019939064979553,0.33180785179138184,0.2882232964038849,0.37176385521888733,0.318375825881958,-0.5505611300468445,-0.5701806545257568,-0.5485527515411377,-0.582350492477417,-0.5103327035903931,-0.548741340637207
