,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,55817,4547,2349,3642,4984,4636,713
Rambutan,41,122,0,4,8,3,0
Mango,51,17,921,16,41,15,1
Longan,175,22,21,445,35,28,2
Jackfruit,591,46,94,108,855,74,10
Mangosteen,249,28,15,35,22,301,7
Langsat,5,0,0,1,1,1,41
