,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.4466,0.016,0.0044,0.0119,0.0044,0.0366,0.011,0.0002,0.019,0.0042,0.0048,0.0063,0.0015,0.036,0.3971
Cassava,0.0313,0.5026,0.1585,0.0347,0.0072,0.0304,0.0049,0.0006,0.017,0.0047,0.0081,0.0026,0.0006,0.0037,0.193
Pineapple,0.0152,0.1729,0.5828,0.0218,0.0052,0.0215,0.003,0.0005,0.0115,0.0028,0.0058,0.0037,0.0011,0.0015,0.1507
Para rubber,0.0077,0.0345,0.0353,0.6766,0.0484,0.0404,0.0068,0.0012,0.0079,0.0062,0.0084,0.0045,0.001,0.0014,0.1195
Oil palm,0.0106,0.0463,0.0532,0.0265,0.2506,0.1004,0.0283,0.0005,0.038,0.0836,0.0544,0.023,0.0039,0.004,0.2764
Durian,0.0117,0.0235,0.0114,0.0314,0.006,0.4438,0.0362,0.0001,0.0187,0.029,0.0396,0.0369,0.0057,0.0098,0.2964
Rambutan,0.0274,0.0185,0.0216,0.0549,0.0259,0.0216,0.0644,0.0005,0.0,0.0021,0.0042,0.0016,0.0,0.0032,0.7541
Coconut,0.0431,0.1354,0.0983,0.0001,0.0005,0.0504,0.0126,0.0049,0.1093,0.0203,0.0228,0.026,0.0009,0.0031,0.4723
Mango,0.0113,0.0776,0.0177,0.0314,0.0077,0.0017,0.0006,0.0038,0.031,0.0005,0.0014,0.0005,0.0,0.0026,0.8122
Longan,0.0176,0.0575,0.0246,0.1009,0.0577,0.0439,0.0055,0.0033,0.0053,0.1116,0.0088,0.007,0.0005,0.0193,0.5366
Jackfruit,0.0301,0.0818,0.0594,0.1182,0.0444,0.0806,0.0063,0.0005,0.0128,0.0147,0.1165,0.0101,0.0014,0.0112,0.412
Mangosteen,0.0268,0.0124,0.0206,0.0357,0.016,0.0447,0.005,0.0,0.0027,0.0063,0.0039,0.054,0.0013,0.0063,0.7643
Langsat,0.0038,0.017,0.0076,0.1304,0.0151,0.0095,0.0,0.0,0.0,0.0019,0.0019,0.0019,0.0775,0.0,0.7335
Reservoir,0.0074,0.0036,0.0032,0.0022,0.0021,0.0028,0.0007,0.0001,0.002,0.0009,0.0007,0.0006,0.0001,0.9014,0.0722
Others,0.024,0.0489,0.0182,0.0202,0.0096,0.0319,0.0078,0.0008,0.0128,0.0061,0.0058,0.0059,0.0011,0.0293,0.7776
