,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9805,0.9509,0.6909,0.8567,0.8382,0.9166,0.9212
Rambutan,0.0007,0.0255,0.0,0.0009,0.0013,0.0006,0.0
Mango,0.0009,0.0036,0.2709,0.0038,0.0069,0.003,0.0013
Longan,0.0031,0.0046,0.0062,0.1047,0.0059,0.0055,0.0026
Jackfruit,0.0104,0.0096,0.0276,0.0254,0.1438,0.0146,0.0129
Mangosteen,0.0044,0.0059,0.0044,0.0082,0.0037,0.0595,0.009
Langsat,0.0001,0.0,0.0,0.0002,0.0002,0.0002,0.053
