,2403,2404,2407,2413,2416,2419
2403,7230,1,0,3,0,2
2404,41,14,0,0,0,0
2407,313,0,6,0,0,0
2413,386,0,0,27,0,0
2416,521,0,0,0,35,0
2419,247,0,0,0,0,21
