,precision,recall,f1-score,support
1,0.7921367521367522,0.15446666666666667,0.25852161785216177,30000.0
2,0.8705563706127977,0.2571333333333333,0.397004709091377,30000.0
3,0.39357675091978905,0.9877333333333334,0.5628698154603045,30000.0
accuracy,0.46644444444444444,0.46644444444444444,0.46644444444444444,0.46644444444444444
macro avg,0.685423291223113,0.46644444444444444,0.40613204746794773,90000.0
weighted avg,0.685423291223113,0.46644444444444444,0.40613204746794773,90000.0
