,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2101,0.9183748169838946,0.23895238095238094,0.3792321644498186,10500.0,49000,49000,10500
2204,0.6344605475040258,0.11257142857142857,0.19121572433875272,10500.0,49000,49000,10500
2205,0.3707117636127114,0.9499047619047619,0.5332976874749366,10500.0,49000,49000,10500
accuracy,0.4338095238095238,0.4338095238095238,0.4338095238095238,0.4338095238095238,,,
macro avg,0.6411823760335439,0.4338095238095238,0.367915192087836,31500.0,,,
weighted avg,0.6411823760335439,0.4338095238095238,0.36791519208783596,31500.0,,,
