,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
econ,0.6276953259823067,0.69108,0.6578644251730145,150000.0,700000,700000,150000
water,0.981127488895273,0.59196,0.7384055018253487,75000.0,350000,350000,75000
others,0.47925035256688747,0.5975333333333334,0.5318952439942585,120000.0,560000,560000,120000
forest,0.8260985530439421,0.6882777777777778,0.7509167500075764,90000.0,420000,420000,90000
accuracy,0.6476045977011494,0.6476045977011494,0.6476045977011494,0.6476045977011494,,,
macro avg,0.7285429301221024,0.6422127777777777,0.6697704802500495,435000.0,,,
weighted avg,0.6887305118309719,0.6476045977011494,0.6562529038916005,435000.0,,,
