,crop,precision,recall,f1-score,support
2101,Rice,0.25816963790268066,0.086232868172122,0.1292830798767241,296743.0
2204,Cassava,0.258621210139167,0.06367544131310003,0.10219044854692427,807250.0
2205,Pineapple,0.04540352248295009,0.6072635146950407,0.08448994991917251,714833.0
2302,Rubber,0.970071753606686,0.18849009207893871,0.3156480853247739,12320950.0
2303,Oil palm,0.27610008628127697,0.00260717421015861,0.005165570664401349,490953.0
2403,Durian,0.1045939125396822,0.13625313764953303,0.11834273038740906,353768.0
2404,Rambutan,0.9083969465648855,0.018637431480031323,0.036525475751995086,6385.0
2405,Coconut,0.0,0.0,0.0,13945.0
2407,Mango,0.9469026548672567,0.0015581087181279396,0.0031110981885848865,68673.0
2413,Longan,0.7261904761904762,0.012390818606540727,0.024365887757140003,19692.0
2416,Jackfruit,0.9277566539923955,0.005691227579129056,0.011313056379821959,42873.0
2419,Mangosteen,0.8686868686868687,0.008904996117007508,0.01762927279249731,19315.0
2420,Langsat,0.0,0.0,0.0,1843.0
micro avg,,0.2267306718460366,0.19026097326667293,0.20690101972270308,15157223.0
macro avg,,0.48391490178879426,0.08705421620151767,0.06523574273764957,15157223.0
weighted avg,,0.8302496413569757,0.19026097326667293,0.2715861410769476,15157223.0
