lu_code,precision,recall,f1,support
2101,0.6912,0.2152,0.3283,49838
2204,0.4394,0.1546,0.2287,178464
2205,0.4435,0.3967,0.4188,139979
2302,0.9275,0.8117,0.8657,3235887
2303,0.8616,0.2846,0.4279,89353
2403,0.4366,0.2863,0.3459,73052
2404,0.0,0.0,0.0,1625
2405,0.0,0.0,0.0,2947
2407,0.4645,0.0064,0.0126,13346
2413,0.0,0.0,0.0,1709
2416,0.0455,0.0004,0.0008,10054
2419,0.2353,0.0019,0.0038,4122
2420,0.0,0.0,0.0,191
