population,class,precision,recall,f1,support
all,Rice,0.1545,0.4516,0.2302,270132
all,Cassava,0.2286,0.198,0.2122,1035172
all,Pineapple,0.1557,0.1116,0.13,862121
all,Para rubber,0.9206,0.5931,0.7214,11077315
all,Oil palm,0.0512,0.0492,0.0502,507114
all,Durian,0.0998,0.2971,0.1494,394163
all,Rambutan,0.0018,0.0782,0.0035,5818
all,Coconut,0.0009,0.0056,0.0016,15045
all,Mango,0.0078,0.024,0.0117,64650
all,Longan,0.0119,0.2152,0.0226,19879
all,Jackfruit,0.0151,0.0701,0.0249,41238
all,Mangosteen,0.0132,0.0994,0.0233,19325
all,Langsat,0.0001,0.0038,0.0001,1843
all,Reservoir,0.7557,0.678,0.7147,906947
all,Others,0.6178,0.766,0.6839,8220630
unseen_2018,Rice,0.0906,0.4156,0.1488,131510
unseen_2018,Cassava,0.1992,0.196,0.1976,766797
unseen_2018,Pineapple,0.1323,0.1157,0.1234,609075
unseen_2018,Para rubber,0.9365,0.5923,0.7256,10719960
unseen_2018,Oil palm,0.033,0.0468,0.0387,315042
unseen_2018,Durian,0.0443,0.2786,0.0765,153032
unseen_2018,Rambutan,0.0005,0.0693,0.0011,1630
unseen_2018,Coconut,0.0007,0.006,0.0013,9564
unseen_2018,Mango,0.0037,0.0229,0.0064,27867
unseen_2018,Longan,0.0022,0.144,0.0044,4243
unseen_2018,Jackfruit,0.0023,0.048,0.0044,7475
unseen_2018,Mangosteen,0.0048,0.0899,0.0091,5838
unseen_2018,Langsat,0.0,0.0022,0.0,445
unseen_2018,Reservoir,0.6639,0.6912,0.6773,480954
unseen_2018,Others,0.6268,0.7681,0.6903,7012632
