population,n_pixels,accuracy,kappa,f1_weighted,f1_macro
labelled in both,23334983,0.6007,0.4273,0.6302,0.1987
unchanged since 2018,22565503,0.6118,0.4357,0.6447,0.1975
changed since 2018,769480,0.2759,0.1188,0.2783,0.114
