scope,pixels,unchanged,changed_share
all labelled in both surveys,23334983,22565503,0.033
true Rice in 2018,280856,261324,0.0695
true Cassava in 2018,787975,707119,0.1026
true Pineapple in 2018,695141,634884,0.0867
true Para rubber in 2018,11448138,11036415,0.036
true Oil palm in 2018,487672,484371,0.0068
true Durian in 2018,351214,349973,0.0035
true Rambutan in 2018,6339,5799,0.0852
true Coconut in 2018,13814,13122,0.0501
true Mango in 2018,66637,63551,0.0463
true Longan in 2018,19625,19599,0.0013
true Jackfruit in 2018,41664,40047,0.0388
true Mangosteen in 2018,19066,18954,0.0059
true Langsat in 2018,1843,1843,0.0
