population,class,precision,recall,f1,support
labelled in both,Rice,0.1555,0.452,0.2314,269630
labelled in both,Cassava,0.2259,0.1985,0.2113,1011327
labelled in both,Pineapple,0.1553,0.1121,0.1302,849880
labelled in both,Para rubber,0.9212,0.5931,0.7216,11049007
labelled in both,Oil palm,0.0512,0.0496,0.0504,501291
labelled in both,Durian,0.0976,0.2967,0.1469,382902
labelled in both,Rambutan,0.0018,0.0782,0.0035,5815
labelled in both,Coconut,0.0009,0.0057,0.0016,14917
labelled in both,Mango,0.0078,0.024,0.0118,64471
labelled in both,Longan,0.012,0.2152,0.0227,19879
labelled in both,Jackfruit,0.0152,0.0704,0.0251,41066
labelled in both,Mangosteen,0.0133,0.0998,0.0234,19245
labelled in both,Langsat,0.0001,0.0038,0.0002,1843
labelled in both,Reservoir,0.7558,0.6783,0.7149,906449
labelled in both,Others,0.6191,0.7664,0.6849,8197261
unchanged since 2018,Rice,0.1645,0.456,0.2417,261324
unchanged since 2018,Cassava,0.1838,0.2074,0.1949,707119
unchanged since 2018,Pineapple,0.1183,0.0992,0.1079,634884
unchanged since 2018,Para rubber,0.9305,0.5933,0.7246,11036415
unchanged since 2018,Oil palm,0.051,0.0504,0.0507,484371
unchanged since 2018,Durian,0.0939,0.297,0.1427,349973
unchanged since 2018,Rambutan,0.0019,0.0785,0.0037,5799
unchanged since 2018,Coconut,0.0009,0.0059,0.0015,13122
unchanged since 2018,Mango,0.0083,0.0244,0.0124,63551
unchanged since 2018,Longan,0.0125,0.2182,0.0236,19599
unchanged since 2018,Jackfruit,0.016,0.0705,0.0261,40047
unchanged since 2018,Mangosteen,0.0136,0.1007,0.024,18954
unchanged since 2018,Langsat,0.0001,0.0038,0.0002,1843
unchanged since 2018,Reservoir,0.758,0.6796,0.7166,902795
unchanged since 2018,Others,0.6292,0.7694,0.6923,8025707
changed since 2018,Rice,0.0458,0.3258,0.0803,8306
changed since 2018,Cassava,0.5955,0.1779,0.274,304208
changed since 2018,Pineapple,0.3994,0.1502,0.2183,214996
changed since 2018,Para rubber,0.0612,0.3722,0.1051,12592
changed since 2018,Oil palm,0.0614,0.0265,0.037,16920
changed since 2018,Durian,0.1703,0.2927,0.2153,32929
changed since 2018,Rambutan,0.0,0.0,0.0,16
changed since 2018,Coconut,0.0014,0.0039,0.002,1795
changed since 2018,Mango,0.0,0.0,0.0,920
changed since 2018,Longan,0.0001,0.0036,0.0001,280
changed since 2018,Jackfruit,0.0052,0.0648,0.0095,1019
changed since 2018,Mangosteen,0.0026,0.0412,0.0048,291
changed since 2018,Langsat,0.0,0.0,0.0,0
changed since 2018,Reservoir,0.3221,0.356,0.3382,3654
changed since 2018,Others,0.3219,0.6238,0.4247,171554
