,precision,recall,f1-score,support
1,0.8402602923383801,0.8565333333333334,0.8483187798154537,30000.0
2,0.8857782369146006,0.8574333333333334,0.8713753387533876,30000.0
3,0.8797853780572106,0.8909,0.8853078056940327,30000.0
accuracy,0.8682888888888889,0.8682888888888889,0.8682888888888889,0.8682888888888889
macro avg,0.868607969103397,0.868288888888889,0.8683339747542913,90000.0
weighted avg,0.8686079691033972,0.8682888888888889,0.8683339747542913,90000.0
