,2403,2404,2407,2413,2416,2419,2420
2403,8098,574,127,499,479,637,86
2404,215,349,2,29,13,23,0
2407,102,98,3556,21,33,46,11
2413,729,71,85,1083,86,107,9
2416,2257,204,213,427,1275,223,46
2419,851,178,34,125,78,758,4
2420,0,0,0,0,0,0,54
