,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2302,0.8816263974035341,0.9313333333333333,0.9057984438680993,10500.0,49000,49000,10500
2303,0.9337727881347203,0.8634285714285714,0.8972240091048542,10500.0,49000,49000,10500
2405,0.5170068027210885,0.9421487603305785,0.6676427525622255,242.0,1126,20000,242
accuracy,0.8978909707183881,0.8978909707183881,0.8978909707183881,0.8978909707183881,,,
macro avg,0.7774686627531143,0.9123035550308277,0.8235550685117263,21242.0,,,
weighted avg,0.9032486156863843,0.8978909707183881,0.8988468742272888,21242.0,,,
