,precision,recall,f1-score,support
1,0.8414376321353065,0.8490666666666666,0.8452349349615078,30000.0
2,0.8649463110495323,0.8323666666666667,0.8483438083913708,30000.0
3,0.8678138570224901,0.8926333333333333,0.880048637812613,30000.0
accuracy,0.8580222222222222,0.8580222222222222,0.8580222222222222,0.8580222222222222
macro avg,0.8580659334024431,0.8580222222222221,0.8578757937218305,90000.0
weighted avg,0.8580659334024431,0.8580222222222222,0.8578757937218305,90000.0
